VideoName,ShotSeq,HitFrame,Hitter,RoundHead,Backhand,BallHeight,LandingX,LandingY,HitterLocationX,HitterLocationY,DefenderLocationX,DefenderLocationY,BallType,Winner
00001.mp4,1,35,A,2,2,2,690,387,539,384,679,567,1,X
00001.mp4,2,50,A,2,2,1,705,405,539,384,677,567,5,X
00001.mp4,3,55,A,2,2,2,707,480,537,382,675,564,6,X
00001.mp4,4,122,A,2,1,1,497,325,569,362,677,587,7,X
00001.mp4,5,129,A,2,2,1,480,430,577,363,655,586,2,X
00001.mp4,6,153,A,2,2,2,565,370,614,412,610,576,4,X
00001.mp4,7,176,A,2,2,1,457,225,610,405,512,620,7,X
00001.mp4,8,184,A,2,2,1,430,325,586,392,512,615,9,X
00001.mp4,9,218,A,2,1,2,585,182,520,366,614,588,3,X
00001.mp4,10,236,A,2,2,1,795,360,508,361,726,556,8,X
00001.mp4,11,241,B,2,1,1,830,455,793,525,555,363,4,X
00001.mp4,12,271,A,2,2,2,867,387,818,426,746,552,1,X
00001.mp4,13,301,A,2,2,1,875,250,714,405,730,618,4,X
00001.mp4,14,312,A,2,2,2,860,415,693,394,801,642,5,X
00001.mp4,15,329,A,2,1,2,805,285,679,388,730,619,6,X
00001.mp4,16,350,A,2,2,1,882,365,699,390,791,553,6,X
00001.mp4,17,357,A,2,1,1,892,467,710,386,728,567,3,X
00001.mp4,18,386,A,2,1,1,610,55,655,362,710,541,6,X
00001.mp4,19,395,A,2,1,2,590,140,647,351,689,553,1,X
00001.mp4,20,422,A,2,2,1,485,227,596,362,526,610,8,X
00001.mp4,21,429,A,2,2,1,470,345,588,373,523,608,7,X
00001.mp4,22,452,A,2,1,1,400,25,541,383,563,611,2,X
00001.mp4,23,470,A,2,1,1,420,175,443,331,616,587,2,X
00001.mp4,24,485,A,2,2,1,437,322,423,355,596,559,5,X
00001.mp4,25,495,A,2,2,2,442,472,504,365,488,527,4,X
00001.mp4,26,524,A,2,2,1,745,60,681,362,567,545,7,X
00001.mp4,27,560,A,2,2,1,835,172,712,370,773,615,5,X
00001.mp4,28,570,A,2,2,2,827,342,698,373,787,616,5,X
00001.mp4,29,593,A,2,2,2,480,365,518,405,744,628,8,X
00001.mp4,30,614,A,2,2,2,412,325,516,413,620,547,9,X
00001.mp4,31,623,A,2,2,1,390,440,571,401,463,520,2,X
00001.mp4,32,674,A,2,1,1,862,190,710,362,710,576,1,X
00001.mp4,33,688,A,2,2,1,885,367,710,373,871,607,5,X
00001.mp4,34,712,A,2,2,1,500,340,565,413,846,623,6,X
00001.mp4,35,728,A,2,2,2,450,297,569,414,681,588,3,X
00001.mp4,36,735,A,2,1,1,435,362,571,404,584,598,7,X
00001.mp4,37,764,A,2,1,1,470,60,510,362,602,583,6,X
00001.mp4,38,773,A,2,1,2,485,157,508,331,610,583,3,X
00001.mp4,39,800,A,2,2,2,437,197,533,357,490,619,1,X
00001.mp4,40,808,A,2,2,1,425,332,569,371,484,618,2,X
00001.mp4,41,836,A,2,1,1,452,170,541,370,506,611,1,X
00001.mp4,42,843,A,2,1,1,457,232,524,365,557,588,8,X
00001.mp4,43,865,A,2,2,1,440,340,551,365,537,552,4,X
00001.mp4,44,871,A,2,2,2,437,420,577,374,465,521,3,X
00001.mp4,45,899,B,2,2,1,457,387,520,524,280,230,4,X
00001.mp4,46,944,A,2,1,1,810,127,586,409,732,630,5,X
00001.mp4,47,953,A,2,2,1,827,325,628,397,759,620,1,X
00001.mp4,48,974,A,2,1,2,805,135,675,353,773,640,9,X
00001.mp4,49,979,A,2,1,2,815,170,708,363,746,626,4,X
00001.mp4,50,1004,A,2,2,1,885,330,712,372,824,556,2,X
00001.mp4,51,1009,A,2,2,1,892,417,698,369,836,559,6,X
00001.mp4,52,1034,A,2,1,1,870,300,738,393,805,559,4,X
00001.mp4,53,1043,A,2,2,1,872,400,814,425,736,556,5,X
00001.mp4,54,1088,A,2,2,2,520,220,624,400,516,644,2,X
00001.mp4,55,1106,A,2,1,1,780,342,598,394,527,623,9,X
00001.mp4,56,1111,A,2,1,2,820,380,606,394,522,620,4,X
00001.mp4,57,1136,A,2,2,1,812,295,742,393,697,531,7,X
00001.mp4,58,1143,A,2,2,2,805,377,693,386,758,512,1,X
00001.mp4,59,1160,A,2,2,2,842,317,720,405,773,507,1,X
00001.mp4,60,1170,A,2,1,1,860,410,805,428,757,512,1,X
00001.mp4,61,1200,A,2,2,1,700,337,744,416,679,580,8,X
00001.mp4,62,1207,A,2,2,1,677,325,736,410,681,599,2,X
00001.mp4,63,1220,A,2,2,2,722,187,647,396,695,642,5,X
00001.mp4,64,1227,A,2,2,2,715,335,645,394,695,632,6,X
00001.mp4,65,1238,A,2,2,2,812,325,618,394,708,639,9,X
00001.mp4,66,1246,A,2,1,2,837,370,634,394,708,611,1,X
00001.mp4,67,1268,A,2,2,1,860,295,755,392,763,541,7,X
00001.mp4,68,1277,A,2,2,2,857,400,724,389,807,513,2,X
00001.mp4,69,1298,B,2,2,2,870,325,805,515,280,230,7,X
00001.mp4,70,1303,B,2,2,2,872,385,775,523,280,230,5,X
00001.mp4,71,1340,A,2,2,2,515,227,661,402,567,608,3,X
00001.mp4,72,1345,A,2,2,1,487,325,641,401,555,602,3,X
00001.mp4,73,1358,A,2,1,1,795,320,592,394,502,626,4,X
00001.mp4,74,1368,A,2,2,2,875,397,634,396,494,620,8,X
00001.mp4,75,1378,A,2,2,1,890,387,742,404,526,603,4,X
00001.mp4,76,1385,A,2,1,2,892,387,759,408,594,579,7,X
00001.mp4,77,1391,A,2,1,1,895,382,757,406,606,585,6,B
00002.mp4,1,30,A,2,1,1,580,372,588,361,606,585,4,X
00002.mp4,2,50,A,2,1,1,572,320,571,370,606,585,2,X
00002.mp4,3,80,A,2,1,2,475,382,980,357,606,585,5,X
00002.mp4,4,94,A,2,1,1,1045,335,614,373,606,585,6,X
00002.mp4,5,161,A,2,2,2,1052,115,602,354,443,533,5,X
00002.mp4,6,169,A,2,1,1,180,185,980,359,415,543,8,X
00002.mp4,7,175,A,2,1,2,135,312,974,353,368,561,3,X
00002.mp4,8,182,A,2,1,2,102,502,964,353,368,561,5,A
00003.mp4,1,16,A,2,2,2,625,330,700,318,634,496,7,X
00003.mp4,2,41,A,2,2,2,712,297,696,323,677,495,5,X
00003.mp4,3,123,A,2,2,2,590,260,553,276,423,529,3,X
00003.mp4,4,142,A,2,1,1,697,280,663,327,571,533,2,X
00003.mp4,5,163,A,2,2,1,870,275,665,319,767,555,4,X
00003.mp4,6,172,A,2,1,2,900,397,663,319,838,588,2,X
00003.mp4,7,205,A,2,2,2,522,107,573,278,696,557,5,X
00003.mp4,8,263,A,2,1,1,470,295,582,303,492,588,1,B
00004.mp4,1,3,A,2,2,2,630,322,718,318,618,491,4,X
00004.mp4,2,56,A,2,2,2,510,322,622,306,571,568,9,X
00004.mp4,3,68,A,2,2,2,520,235,569,303,553,599,2,X
00004.mp4,4,85,A,2,2,1,712,295,586,297,575,553,6,X
00004.mp4,5,94,A,2,2,2,770,407,614,306,710,496,3,X
00004.mp4,6,121,A,2,1,1,850,262,801,323,763,524,2,X
00004.mp4,7,131,A,2,1,2,875,395,748,321,822,483,5,X
00004.mp4,8,155,A,2,1,2,812,300,767,345,728,497,2,X
00004.mp4,9,181,A,2,2,2,590,180,632,310,618,576,2,X
00004.mp4,10,190,A,2,2,1,522,295,618,289,586,536,3,X
00004.mp4,11,204,A,2,2,2,455,297,569,301,539,573,6,B
00005.mp4,1,15,A,2,1,1,672,352,634,425,724,580,7,X
00005.mp4,2,35,A,2,2,1,697,402,641,420,679,540,7,X
00005.mp4,3,58,A,2,2,2,612,370,280,230,665,544,6,X
00005.mp4,4,77,B,2,1,2,647,355,632,537,280,230,3,X
00005.mp4,5,122,A,2,1,2,517,60,571,396,600,552,2,X
00005.mp4,6,140,A,2,2,1,620,240,280,230,649,567,9,X
00005.mp4,7,148,A,2,2,2,582,390,280,230,655,567,5,X
00005.mp4,8,165,A,2,2,2,747,427,616,400,793,539,3,X
00005.mp4,9,187,A,2,2,1,460,400,280,230,732,553,3,X
00005.mp4,10,195,A,2,1,1,412,462,522,452,685,548,2,B
00006.mp4,1,38,A,2,2,2,607,415,588,307,649,513,3,X
00006.mp4,2,64,A,2,1,2,505,270,543,331,636,501,9,X
00006.mp4,3,90,A,2,2,2,825,390,661,310,732,535,8,X
00006.mp4,4,124,A,2,1,1,707,295,681,321,706,555,6,B
00007.mp4,1,10,A,2,2,1,562,285,649,339,527,527,3,X
00007.mp4,2,24,A,2,2,1,572,320,634,331,569,480,8,X
00007.mp4,3,47,A,2,2,2,495,342,539,330,616,503,2,X
00007.mp4,4,70,A,2,2,1,610,340,585,326,677,528,7,X
00007.mp4,5,96,A,2,2,1,607,352,645,330,702,525,7,X
00007.mp4,6,147,A,2,2,1,587,292,697,285,665,492,5,X
00007.mp4,7,152,A,2,2,1,557,365,691,281,604,539,3,X
00007.mp4,8,171,A,2,2,1,525,262,616,315,598,503,5,X
00007.mp4,9,178,A,2,2,1,520,305,553,337,600,501,7,X
00007.mp4,10,195,A,2,1,1,480,280,547,346,592,480,3,X
00007.mp4,11,203,A,2,1,1,462,350,506,448,592,480,6,X
00007.mp4,12,228,A,2,2,1,720,255,663,297,555,488,7,X
00007.mp4,13,263,A,2,2,1,565,382,704,276,696,537,5,B
00008.mp4,1,38,A,2,1,1,565,355,632,354,696,537,9,X
00008.mp4,2,56,A,2,2,1,530,312,598,371,696,537,9,X
00008.mp4,3,86,A,2,1,1,450,350,565,441,696,537,9,X
00008.mp4,4,109,A,2,2,1,682,235,622,363,696,537,2,X
00008.mp4,5,126,A,2,1,2,572,460,280,230,696,537,9,X
00008.mp4,6,146,A,2,1,2,795,345,280,230,696,537,7,B
00009.mp4,1,2,A,2,1,1,630,352,661,437,520,622,8,X
00009.mp4,2,15,A,2,1,1,630,407,655,440,521,622,7,X
00009.mp4,3,33,A,2,2,2,685,350,649,441,522,630,4,X
00009.mp4,4,61,A,2,1,1,485,170,647,428,474,674,4,X
00009.mp4,5,75,A,2,2,1,475,417,630,417,461,663,4,X
00009.mp4,6,91,A,2,2,2,477,332,579,406,506,642,8,X
00009.mp4,7,99,A,2,2,2,485,380,529,426,521,639,4,X
00009.mp4,8,116,A,2,2,2,475,327,529,429,581,598,9,X
00009.mp4,9,131,A,2,2,2,470,472,557,438,524,561,1,X
00009.mp4,10,181,A,2,1,1,470,92,547,376,551,563,2,X
00009.mp4,11,207,A,2,2,2,462,507,525,376,634,587,5,X
00009.mp4,12,231,A,2,2,1,470,207,280,230,604,584,9,X
00009.mp4,13,247,A,2,2,1,605,285,523,385,620,587,1,X
00009.mp4,14,265,A,2,2,1,777,435,584,385,630,586,6,X
00009.mp4,15,270,A,2,2,2,810,515,618,394,750,545,5,X
00009.mp4,16,301,A,2,1,2,800,185,742,389,708,564,1,X
00009.mp4,17,307,A,2,2,1,797,230,732,373,700,575,3,X
00009.mp4,18,325,A,2,1,2,550,245,746,386,649,603,3,X
00009.mp4,19,342,A,2,1,1,460,475,667,400,494,638,8,X
00009.mp4,20,371,A,2,1,2,755,390,712,437,610,610,4,X
00009.mp4,21,391,A,2,1,2,785,382,710,426,665,572,9,X
00009.mp4,22,401,A,2,1,1,787,500,698,425,742,540,3,X
00009.mp4,23,424,A,2,1,1,682,355,708,396,726,544,8,X
00009.mp4,24,456,A,2,2,2,537,395,781,374,712,588,1,X
00009.mp4,25,474,B,2,2,2,400,575,525,575,714,386,7,X
00009.mp4,26,479,B,2,1,1,390,587,535,571,679,398,9,A
00010.mp4,1,22,A,2,2,1,595,355,714,359,618,481,7,X
00010.mp4,2,27,A,2,1,2,617,315,712,355,618,481,3,X
00010.mp4,3,33,A,2,1,2,632,305,714,367,618,481,3,X
00010.mp4,4,45,A,2,2,2,657,330,695,381,618,481,6,X
00010.mp4,5,51,A,2,2,2,670,302,696,374,618,481,7,X
00010.mp4,6,56,A,2,2,2,672,300,679,365,618,481,6,X
00010.mp4,7,100,A,2,1,1,750,255,280,230,618,481,5,X
00010.mp4,8,107,A,2,2,2,1055,307,757,385,618,481,8,X
00010.mp4,9,112,A,2,1,2,1107,205,736,384,618,481,3,X
00010.mp4,10,121,A,2,2,1,1097,262,700,374,665,492,1,X
00010.mp4,11,131,A,2,1,1,427,285,673,367,649,504,7,X
00010.mp4,12,207,A,2,1,2,605,360,974,361,649,504,8,X
00010.mp4,13,220,A,2,1,2,1122,345,679,353,649,504,4,X
00010.mp4,14,256,A,2,1,1,792,310,280,230,649,504,6,X
00010.mp4,15,265,A,2,1,1,697,370,978,351,649,504,4,X
00010.mp4,16,291,A,2,1,2,735,325,663,355,649,504,5,B
00011.mp4,1,56,A,2,2,1,462,330,628,351,647,560,5,X
00011.mp4,2,65,A,2,2,1,435,432,602,338,594,559,1,X
00011.mp4,3,95,A,2,1,2,530,332,571,379,604,548,5,X
00011.mp4,4,128,A,2,2,2,450,362,600,351,533,594,4,X
00011.mp4,5,133,A,2,2,2,445,460,602,343,506,627,3,X
00011.mp4,6,163,A,2,1,2,487,282,561,302,620,567,4,X
00011.mp4,7,218,A,2,2,2,445,482,541,363,667,553,2,X
00011.mp4,8,225,A,2,2,1,387,597,559,361,643,501,9,X
00011.mp4,9,238,B,2,2,1,365,610,506,553,553,351,6,A
